门店名称,系统名称,大区,小区,省名称,地城市,渠道
四川永辉超市有限公司成都上古天地店,永辉成都上古天地店,西区,四川区,四川,成都,永辉
四川永辉超市有限公司天府欧城店,永辉成都天府欧城店,西区,四川区,四川,成都,永辉
四川永辉超市有限公司成都蜀都万达店,永辉成都蜀都万达店,西区,四川区,四川,成都,永辉
永辉锦江城市花园,永辉成都锦江城市花园店,西区,四川区,四川,成都,永辉
永辉西单商场金沙店,永辉成都西单店,西区,四川区,四川,成都,永辉
永辉龙湖金楠天街,永辉成都龙湖金楠天街店,西区,四川区,四川,成都,永辉
永辉银泰城,永辉成都银泰城店,西区,四川区,四川,成都,永辉
永辉成都市崇州金都汇店,永辉成都崇州店,西区,四川区,四川,成都,永辉
四川永辉龙泉皇冠国际广场店,永辉成都皇冠国际店,西区,四川区,四川,成都,永辉
四川永辉超市有限公司成都高新区时代天街分公司,永辉成都龙湖时代天街店,西区,四川区,四川,成都,永辉
四川永辉超市有限公司成都青羊区青羊广场分公司,永辉成都青羊光华店,西区,四川区,四川,成都,永辉
四川永辉超市有限公司成都金牛区北城天街分公司,永辉成都北城天街店,西区,四川区,四川,成都,永辉
四川永辉超市有限公司万科路分公司,永辉成都万科店,西区,四川区,四川,成都,永辉
沃尔玛崇州店,沃尔玛成都崇州店,西区,四川区,四川,崇州,沃尔玛
四川永辉超市有限公司达州达川店,永辉达州升华广场店,西区,四川区,四川,达州,永辉
四川永辉超市有限公司达州宣汉店,永辉达州石岭大道店,西区,四川区,四川,宣汉县,永辉
四川永辉超市有限公司乐山犍为凤凰城店,永辉乐山犍为店,西区,四川区,四川,犍为县,永辉
德阳大润发商业有限公司,大润发德阳岷江西路店,西区,四川区,四川,德阳,大润发
四川永辉超市有限公司泰山南路店,永辉德阳泰山南路店,西区,四川区,四川,德阳,永辉
永辉广汉天阶汇,永辉德阳中山店,西区,四川区,四川,都江堰,永辉
峨眉山市大润发商业有限公司,大润发四川峨眉山店,西区,四川区,四川,峨眉山,大润发
沃尔玛峨眉山店,沃尔玛乐山市名山东路店,西区,四川区,四川,峨眉山,沃尔玛
广安市滨河路店,永辉广安四川市滨河路店,西区,四川区,四川,广安,永辉
四川永辉超市有限公司黄金时代店,永辉乐山黄金时代店,西区,四川区,四川,广汉,永辉
沃尔玛广元店,沃尔玛广元东苑路分店,西区,四川区,四川,广元,沃尔玛
四川永辉超市有限公司泸州天远广场店,永辉泸州天远广场店,西区,四川区,四川,广元,永辉
四川永辉广元市广元万达店,永辉广元市广元万达店,西区,四川区,四川,广元,永辉
四川永辉超市有限公司浦江世纪中心店,永辉成都浦江世纪中心店9802,西区,四川区,四川,夹江县,永辉
四川永辉内江市汇金天地店,永辉内江汇金天地店,西区,四川区,四川,犍为县,永辉
四川永辉超市有限公司广元摩尔天成店,永辉广元摩尔天成店,西区,四川区,四川,江安县,永辉
四川永辉超市有限公司成都金堂华地财富广场店,永辉成都华地财富广场店,西区,四川区,四川,金堂县,永辉
四川永辉超市有限公司都江堰融创店,永辉成都都江堰融创店,西区,四川区,四川,泸州,永辉
四川永辉超市有限公司泸州万达广场店,永辉泸州万达店,西区,四川区,四川,泸州,永辉
四川永辉超市有限公司泸州万象汇店,永辉泸州万象汇店,西区,四川区,四川,泸州,永辉
眉山大润发商业有限公司,大润发眉山环湖东路店,西区,四川区,四川,眉山,大润发
四川永辉超市有限公司眉山万达店,永辉眉山文忠街店,西区,四川区,四川,眉山,永辉
绵阳大润发商贸有限公司,大润发绵阳跃进路店,西区,四川区,四川,绵阳,大润发
沃尔玛江油店,沃尔玛江油涪江中路店,西区,四川区,四川,绵阳,沃尔玛
四川永辉超市绵阳CBD万达广场店,永辉绵阳CBD万达广场店,西区,四川区,四川,绵阳,永辉
四川永辉超市有限公司绵阳乐荟店,永辉绵阳剑南路西段店,西区,四川区,四川,绵阳,永辉
四川永辉超市有限公司眉山万景国际店,永辉眉山万景国际店,西区,四川区,四川,绵阳,永辉
四川永辉超市有限公司绵阳市花园路万达广场分公司,永辉绵阳万达广场店,西区,四川区,四川,绵阳,永辉
南充市南部大润发商业有限公司,大润发南充南部店,西区,四川区,四川,南部县,大润发
南充润泰商业有限公司,大润发南充正阳东路店,西区,四川区,四川,南充,大润发
南充润华商业有限公司,大润发南充蓝光店,西区,四川区,四川,南充,大润发
沃尔玛阆中店,沃尔玛南充人民广场店,西区,四川区,四川,南充,沃尔玛
沃尔玛南充五星店211,沃尔玛南充五星广场店,西区,四川区,四川,南充,沃尔玛
永辉南充英伦城邦店,永辉南充英伦城邦店,西区,四川区,四川,南充,永辉
永辉四川南充市—嘉南路店,永辉南充盛世天城店,西区,四川区,四川,南充,永辉
四川永辉内江市内江万达店,永辉内江万达广场店,西区,四川区,四川,内江,永辉
沃尔玛攀枝花清香坪店,沃尔玛攀枝花苏铁中路店,西区,四川区,四川,攀枝花,沃尔玛
四川永辉超市有限公司攀枝花万达店,永辉攀枝花万达店,西区,四川区,四川,攀枝花,永辉
四川永辉超市有限公司广汉金雁蔚蓝郡店,永辉超市德阳金雁蔚蓝郡店,西区,四川区,四川,彭州,永辉
沃尔玛郫县红佳路店,沃尔玛成都郫县店,西区,四川区,四川,郫县,沃尔玛
四川永辉超市有限公司彭州市望蜀里店,永辉成都望蜀里店,西区,四川区,四川,蒲江县,永辉
四川永辉达州渠县地旺广场店,永辉达州渠县地旺广场店,西区,四川区,四川,渠县,永辉
四川永辉超市有限公司眉山中铁仁禾广场店,永辉眉山中铁大道店,西区,四川区,四川,仁寿县,永辉
沃尔玛自贡荣县店,沃尔玛自贡望京路店,西区,四川区,四川,荣县,沃尔玛
四川永辉超市有限公司绵阳梓潼店,永辉绵阳德诚时代广场店,西区,四川区,四川,什邡,永辉
四川永辉超市有限公司海滨城购物中心分公司,永辉成都海滨城购物中心店,西区,四川区,四川,双流县,永辉
四川沃尔玛遂宁2031店,沃尔玛遂宁嘉禾路店,西区,四川区,四川,遂宁,沃尔玛
四川大润发商业有限公司温江店,大润发成都温江店,西区,四川区,四川,温江县,大润发
四川永辉超市有限公司温江国色天香店,永辉成都国色天香店,西区,四川区,四川,温江县,永辉
四川永辉超市有限公司温江店,永辉成都温江店,西区,四川区,四川,温江县,永辉
四川永辉超市有限公司广安融恒时代广场店,永辉广安武胜县融恒时代广场店,西区,四川区,四川,武胜县,永辉
四川永辉超市有限公司西昌万达店,永辉凉山西昌万达店,西区,四川区,四川,西昌,永辉
四川永辉超市有限公司西充鹭岛天街店,永辉南充西充鹭岛,西区,四川区,四川,西充县,永辉
四川永辉超市有限公司新都汇融广场店,永辉成都新都汇融广场店,西区,四川区,四川,新都县,永辉
宜宾大润发商业有限公司,大润发宜宾翠屏店,西区,四川区,四川,宜宾,大润发
宜宾市福临大道店,永辉宜宾福临大道店,西区,四川区,四川,宜宾,永辉
四川永辉超市有限公司南充营山圣桦时代广场店,永辉南充营山圣桦,西区,四川区,四川,营山县,永辉
四川永辉超市有限公司岳池星都会店,永辉广安岳池星都会店9796,西区,四川区,四川,岳池县,永辉
永辉超市宜宾江安南屏首座店,永辉宜宾南屏首座店,西区,四川区,四川,长宁县,永辉
四川永辉超市有限公司长宁宏泰财富广场店,永辉宜宾长宁宏泰财富广场店,西区,四川区,四川,资阳,永辉
永辉超市资阳安岳中央时代广场店,永辉资阳中央时代广场店,西区,四川区,四川,资阳,永辉
四川永辉超市有限公司简阳旭海店,永辉资阳雄州大道店,西区,四川区,四川,简阳,永辉
四川永辉超市有限公司苍溪广明如意城店,永辉广元广明如意城店,西区,四川区,四川,自贡,永辉
永辉超市德阳市什邡天耀中心店,永辉什邡天耀中心店,西区,四川区,四川,自贡,永辉
大润发璧山店,大润发重庆璧山店,西区,重庆区,重庆,重庆,大润发
沃尔玛永川店,沃尔玛重庆渝西大道店,西区,重庆区,重庆,重庆,沃尔玛
沃尔玛重庆万州店,沃尔玛重庆太白路店,西区,重庆区,重庆,重庆,沃尔玛
沃尔玛重庆百货有限公司两路店,沃尔玛重庆胜利路店,西区,重庆区,重庆,重庆,沃尔玛
沃尔玛重庆龙湖紫都城,沃尔玛重庆龙山大道店,西区,重庆区,重庆,重庆,沃尔玛
沃尔玛重庆大渡口国瑞城购物广,沃尔玛重庆松青路店,西区,重庆区,重庆,重庆,沃尔玛
永辉超市九龙坡奥园盘龙店,永辉重庆奥园盘龙店,西区,重庆区,重庆,重庆,永辉
永辉超市江津双福星街店,永辉重庆双福星街店,西区,重庆区,重庆,重庆,永辉
永辉超市龙湖大学城店,永辉重庆大学城北路店,西区,重庆区,重庆,重庆,永辉
永辉龙湖时代天街店,永辉重庆龙湖时代天街店,西区,重庆区,重庆,重庆,永辉
永辉永川协信店,永辉重庆永川协信店,西区,重庆区,重庆,重庆,永辉
永辉江北生活广场店,永辉重庆江北生活广场店,西区,重庆区,重庆,重庆,永辉
永辉大坪协信星光天地店,永辉重庆大坪协信店,西区,重庆区,重庆,重庆,永辉
永辉渝北水木年华店,永辉重庆水木店,西区,重庆区,重庆,重庆,永辉
永辉巴南万达店,永辉重庆龙洲大道巴南万达店,西区,重庆区,重庆,重庆,永辉
永辉超市中交丽景店,永辉重庆中交丽景店,西区,重庆区,重庆,重庆,永辉
永辉华福金科店,永辉重庆九龙坡区华福金科店,西区,重庆区,重庆,重庆,永辉
合川区合川宝龙店,永辉重庆合川宝龙店,西区,重庆区,重庆,重庆,永辉
重庆永辉茶园金科店,永辉重庆金科店,西区,重庆区,重庆,重庆,永辉
重庆市江津区江洲大道,永辉重庆江洲大道店,西区,重庆区,重庆,重庆,永辉
永辉渝北区兰馨大道店,永辉重庆兰馨大道店,西区,重庆区,重庆,重庆,永辉
永辉垫江店,永辉重庆垫江店,西区,重庆区,重庆,重庆,永辉
永辉嘉茂店,永辉重庆嘉茂店,西区,重庆区,重庆,重庆,永辉
永辉天生丽街店,永辉重庆天生丽街店,西区,重庆区,重庆,重庆,永辉
永辉超市重庆綦江河东店,永辉重庆綦江河东店,西区,重庆区,重庆,重庆,永辉
重庆永辉超市万州万达店,永辉重庆北滨大道店,西区,重庆区,重庆,重庆,永辉
永辉(重庆大足国梁)店,永辉重庆大足国梁店,西区,重庆区,重庆,重庆,永辉
永辉(重庆星光天地)店,永辉重庆星光店,西区,重庆区,重庆,重庆,永辉
永辉金开大道店,永辉重庆金开大道店,西区,重庆区,重庆,重庆,永辉
永辉西彭民生广场店,永辉重庆西彭民生广场店,西区,重庆区,重庆,重庆,永辉
永辉李家沱,永辉重庆李家沱店,西区,重庆区,重庆,重庆,永辉
永辉陈家桥,永辉重庆陈家桥店,西区,重庆区,重庆,重庆,永辉
永辉人万达广场店,永辉重庆万达广场店,西区,重庆区,重庆,重庆,永辉
永辉超市万州五桥店,永辉重庆五桥店,西区,重庆区,重庆,重庆,永辉
永辉超市巴南人民广场店,永辉重庆人民广场店,西区,重庆区,重庆,重庆,永辉
永辉超市重庆铜梁广龙明珠店,永辉重庆铜梁广龙明珠店,西区,重庆区,重庆,重庆,永辉
永辉超市重庆龙头寺店,永辉重庆龙头寺店,西区,重庆区,重庆,重庆,永辉
永辉超市重庆较场口店,永辉重庆较场口店,西区,重庆区,重庆,重庆,永辉
重庆永辉超市空港店,永辉重庆空港店,西区,重庆区,重庆,重庆,永辉
重庆永辉超市璧山店,永辉重庆时代商都店,西区,重庆区,重庆,重庆,永辉
永辉超市重庆西城天街店,永辉重庆西城天街店,西区,重庆区,重庆,重庆,永辉
永辉超市重庆长寿店,永辉重庆长寿协信店,西区,重庆区,重庆,重庆,永辉
永辉超市重庆观音桥店,永辉重庆观音桥店,西区,重庆区,重庆,重庆,永辉
永辉超市重庆石桥铺店,永辉重庆石桥铺店,西区,重庆区,重庆,重庆,永辉
永辉超市重庆梁平店,永辉重庆梁平大众店,西区,重庆区,重庆,重庆,永辉
永辉超市重庆四公里店,永辉重庆四公里店,西区,重庆区,重庆,重庆,永辉
重庆永辉超市大渡口店,永辉重庆香港城店,西区,重庆区,重庆,重庆,永辉
重庆大坪永辉超市,永辉重庆大坪分店,西区,重庆区,重庆,重庆,永辉
新世纪超市D柒商都(日化),新世纪重庆红石路店,西区,重庆区,重庆,重庆,重庆新世纪
新世纪康庄美地店,新世纪重庆康庄美地店,西区,重庆区,重庆,重庆,重庆新世纪
重庆商社新世纪百货连锁经营有限公司大坪商都,新世纪百货重庆大坪商都店,西区,重庆区,重庆,重庆,重庆新世纪
新世纪杨家坪店(日化),新世纪重庆杨家坪店,西区,重庆区,重庆,重庆,重庆新世纪
新世纪凯瑞商都商场(食品),重庆新世纪重庆双巷子店,西区,重庆区,重庆,重庆,重庆新世纪
重庆商社新世纪百货连锁经营有限公司瑞成商都,新世纪重庆瑞成商都店,西区,重庆区,重庆,重庆,重庆新世纪
新世纪江南商都生活馆(日化),新世纪重庆江南商都店,西区,重庆区,重庆,重庆,重庆新世纪
重庆商社新世纪空港乐园店,新世纪重庆空港店,西区,重庆区,重庆,重庆,重庆新世纪
沃尔玛汉川店,沃尔玛汉川汉海国际广场店,东区,湖北区,湖北,汉川,沃尔玛
中百仓储红安购物广场,中百仓储黄岗红安购物广场,东区,湖北区,湖北,红安县,中百仓储
大润发黄冈润华商业有限公司,大润发黄冈青砖湖店,东区,湖北区,湖北,黄冈,大润发
沃尔玛红安沿河店,沃尔玛黄冈红安沿河大道店,东区,湖北区,湖北,黄冈,沃尔玛
黄石超级生活馆,武商黄石武汉路店,东区,湖北区,湖北,黄石,武商
黄石团城山店,武商黄石杭州西路店,东区,湖北区,湖北,黄石,武商
沃尔玛湖北荆门店,沃尔玛荆门虎牙关大道店,东区,湖北区,湖北,荆门,沃尔玛
大润发沙市,大润店发荆州北京西路,东区,湖北区,湖北,荆州,大润发
荆州市大润发商业有限公司,大润发荆州江津中路店,东区,湖北区,湖北,荆州,大润发
沃尔玛洪湖店,沃尔玛洪湖天远时代广场店,东区,湖北区,湖北,荆州,沃尔玛
沃尔码荆州北京中路店,沃尔玛荆州北京中路店,东区,湖北区,湖北,荆州,沃尔玛
武汉武商沙市店,武商荆州豉湖路,东区,湖北区,湖北,荆州,武商
中百仓储潜江购物广场,中百仓储潜江购物广场店,东区,湖北区,湖北,潜江,中百仓储
大润发昆山润华商业有限公司随州分公司,大润发随州烈山大道店,东区,湖北区,湖北,随州,大润发
天门大润发商业有限公司,大润发天门钟惺大道店,东区,湖北区,湖北,天门,大润发
沃尔玛天门店,沃尔玛天门西湖路店,东区,湖北区,湖北,天门,沃尔玛
安徽欧尚超市有限公司武汉蔡甸店,欧尚武汉蔡甸店,东区,湖北区,湖北,武汉,大润发
大润发武汉润德超市发展有限公司,大润发武汉姑嫂树店,东区,湖北区,湖北,武汉,大润发
大润发武汉大福源,大润发武汉江汉路店,东区,湖北区,湖北,武汉,大润发
金银潭店,永旺武汉梦乐城店,东区,湖北区,湖北,武汉,吉之岛
永旺（湖北）商业有限公司西城店,吉之岛武汉西城店,东区,湖北区,湖北,武汉,吉之岛
经开店,永旺武汉沌口店,东区,湖北区,湖北,武汉,吉之岛
武汉汉福超市有限公司后湖分公司,家乐福武汉后湖店,东区,湖北区,湖北,武汉,家乐福
武汉汉福超市有限公司南湖武昌府分公司,家乐福武汉南湖店,东区,湖北区,湖北,武汉,家乐福
家乐福武汉十升,家乐福武汉十升店,东区,湖北区,湖北,武汉,家乐福
武汉汉福超市有限公司建设分公司,家乐福武汉建设大道店,东区,湖北区,湖北,武汉,家乐福
武汉汉福超市有限公司光谷分公司,家乐福武汉光谷店,东区,湖北区,湖北,武汉,家乐福
沃尔玛江夏万豪世纪天街店,沃尔玛武汉江夏分店,东区,湖北区,湖北,武汉,沃尔玛
沃尔玛武汉红钢城店,沃尔玛武汉奥山世纪城店,东区,湖北区,湖北,武汉,沃尔玛
沃尔玛武汉经开店,沃尔玛武汉体育路店,东区,湖北区,湖北,武汉,沃尔玛
沃尔玛武汉南湖店,沃尔玛武汉丁字桥南路店,东区,湖北区,湖北,武汉,沃尔玛
沃尔玛武汉菱角湖店,沃尔玛武汉菱角湖店,东区,湖北区,湖北,武汉,沃尔玛
沃尔玛武汉万达店1003,沃尔玛武汉中山大道店,东区,湖北区,湖北,武汉,沃尔玛
武汉武商岳家嘴店,武商超市武汉岳家嘴店,东区,湖北区,湖北,武汉,武商
武汉武商常青花园店,武商武汉常青店,东区,湖北区,湖北,武汉,武商
武汉武商建二超市,武商武汉建二店,东区,湖北区,湖北,武汉,武商
武汉武商生活馆店,武商武汉摩尔城生活馆店,东区,湖北区,湖北,武汉,武商
白沙洲量贩店,武商武汉白沙洲店,东区,湖北区,湖北,武汉,武商
武汉武商锦绣龙城店,武商武汉民族大道店,东区,湖北区,湖北,武汉,武商
中百仓储南湖龙城店,中百武汉天际路店,东区,湖北区,湖北,武汉,中百仓储
中百仓储武汉关山光谷店,中百仓储武汉珞瑜路店,东区,湖北区,湖北,武汉,中百仓储
中百仓储武汉民意店,中百武汉民意店,东区,湖北区,湖北,武汉,中百仓储
武汉中百仓储吴家山店,中百武汉田园大道店,东区,湖北区,湖北,武汉,中百仓储
武汉中百仓储首义店,中百仓储武汉首义店,东区,湖北区,湖北,武汉,中百仓储
武汉中百仓储江夏店,中百武汉新兴街店,东区,湖北区,湖北,武汉,中百仓储
黄浦路购物广场,中百武汉黄浦路店,东区,湖北区,湖北,武汉,中百仓储
武汉中百仓储古田店,中百仓储武汉古田店,东区,湖北区,湖北,武汉,中百仓储
中百蔡甸购物广场店,中百武汉蔡甸店,东区,湖北区,湖北,武汉,中百仓储
中百仓储江夏中百广场店,中百仓储武汉文化路店,东区,湖北区,湖北,武汉,中百仓储
中百仓储紫微星店,中百武汉紫微星店,东区,湖北区,湖北,武汉,中百仓储
中百仓储岳家嘴店,中百仓储武汉岳家嘴店,东区,湖北区,湖北,武汉,中百仓储
中百仓储浠水购物广场,中百仓储黄冈丽文大道店,东区,湖北区,湖北,浠水县,中百仓储
沃尔玛仙桃店,沃尔玛仙桃宏达南路店,东区,湖北区,湖北,仙桃,沃尔玛
中百仓储咸安店,中百咸宁鱼水路店,东区,湖北区,湖北,咸宁,中百仓储
沃尔玛襄樊店1065,沃尔玛襄樊长虹路店,东区,湖北区,湖北,襄樊,沃尔玛
襄樊广场店,武商量贩襄阳星火路店,东区,湖北区,湖北,襄阳,武商
襄城购物广场店,武商襄阳檀溪路店,东区,湖北区,湖北,襄阳,武商
襄樊东街店,武商襄阳东街店,东区,湖北区,湖北,襄阳,武商
孝感大润发商业有限公司,大润发孝感槐荫大道店,东区,湖北区,湖北,孝感,大润发
沃尔玛安陆店,沃尔玛湖北安陆店,东区,湖北区,湖北,孝感,沃尔玛
沃尔玛应城店,沃尔玛孝感应城店,东区,湖北区,湖北,孝感,沃尔玛
沃尔玛孝感店,沃尔玛孝感长征路店,东区,湖北区,湖北,孝感,沃尔玛
中百仓储云梦店,中百孝感建设路店,东区,湖北区,湖北,孝感,中百仓储
宜昌大润发商业有限公司,大润发宜昌陶珠店,东区,湖北区,湖北,宜昌,大润发
沃尔玛宜昌城东大道店,沃尔玛宜昌城东大道店,东区,湖北区,湖北,宜昌,沃尔玛
沃尔玛宜昌万达店,沃尔玛宜昌沿江大道店,东区,湖北区,湖北,宜昌,沃尔玛
沃尔玛宜昌夷陵店2130,沃尔玛宜昌夷陵路店,东区,湖北区,湖北,宜昌,沃尔玛
大润发广州金沙洲店,大润发佛山金沙洲店,南区,湖广区,广东,广州,大润发
广州润增商贸有限公司,大润发广州增城店,南区,湖广区,广东,广州,大润发
(新塘店)昆山润华商业有限公司,大润发广州新塘店,南区,湖广区,广东,广州,大润发
发发店-上海新欧尚超市有限公司广州高德发发店,欧尚广州发发店,南区,湖广区,广东,广州,大润发
特易购商业(广东)有限公司广州天河分公司,华润万家广州天河店,南区,湖广区,广东,广州,华润
特易购商业(广东)有限公司中山六店,乐购广州中六店,南区,湖广区,广东,广州,华润
特易购商业(广东)有限公司,华润万家广州圣地店,南区,湖广区,广东,广州,华润
华润万家萝岗店,华润万家广州萝岗新店,南区,湖广区,广东,广州,华润
华润万家番禺汉溪店,华润万家广州番禺汉溪店,南区,湖广区,广东,广州,华润
华润万家从化店,华润万家广州从城大道店,南区,湖广区,广东,广州,华润
华润万家增城广场店,华润万家广州万达广场店,南区,湖广区,广东,广州,华润
华润番禺奥园店,华润万家广州奥园店,南区,湖广区,广东,广州,华润
华润东晓南店,华润万家广州东晓南店,南区,湖广区,广东,广州,华润
华润龙洞店,华润万家广州龙洞店,南区,湖广区,广东,广州,华润
华润夏园店,华润万家广州夏园店,南区,湖广区,广东,广州,华润
华润江燕店,华润万家广州江燕店,南区,湖广区,广东,广州,华润
华润新塘店,华润万家广州新塘店,南区,湖广区,广东,广州,华润
华润工业大道店,华润万家广州工业大道店,南区,湖广区,广东,广州,华润
华润花都店,华润万家广州花都天景花园店,南区,湖广区,广东,广州,华润
华润前进店,华润万家广州前进店,南区,湖广区,广东,广州,华润
华润天河北店,华润万家广州天河北店,南区,湖广区,广东,广州,华润
华润天河公园店,华润万家广州天河公园店,南区,湖广区,广东,广州,华润
华润荔湾店,华润万家广州荔湾店,南区,湖广区,广东,广州,华润
华润五羊店,华润万家广州新马路店,南区,湖广区,广东,广州,华润
广东吉之岛天贸百货有限公司海港城分公司,吉之岛广州海港店,南区,湖广区,广东,广州,吉之岛
吉之岛广州凤凰城店,永旺广州凤凰城店,南区,湖广区,广东,广州,吉之岛
广东吉之岛天贸百货有限公司广州五号停机坪分公司,永旺广州上元岗店,南区,湖广区,广东,广州,吉之岛
广东吉之岛天贸百货有限公司广州建和广场分公司,永旺广州农林下路建和广场店,南区,湖广区,广东,广州,吉之岛
吉之岛广州高德置地广场店,吉之岛广州高德店,南区,湖广区,广东,广州,吉之岛
吉之岛新塘购物中心,吉之岛广州创新大道店,南区,湖广区,广东,广州,吉之岛
广东永旺天河城金沙商业中心分公司,永旺广州金沙店,南区,湖广区,广东,广州,吉之岛
广州家广超市有限公司员村店,家乐福广州员村店,南区,湖广区,广东,广州,家乐福
广州家广超市有限公司新市店,家乐福广州新市店,南区,湖广区,广东,广州,家乐福
广州家广超市有限公司康王店,家乐福广州康王店,南区,湖广区,广东,广州,家乐福
广州家广超市有限公司,家乐福广州万国店,南区,湖广区,广东,广州,家乐福
沃尔玛广州番禺钟村雄峰城2744店,沃尔玛广州番禺钟村雄峰城2744店,南区,湖广区,广东,广州,沃尔玛
广州白云沃尔玛（2209）,沃尔玛广州白云新城店,南区,湖广区,广东,广州,沃尔玛
沃尔玛广州南州120店,沃尔玛广州好信广场店,南区,湖广区,广东,广州,沃尔玛
沃尔玛广州云景110店,沃尔玛广州云景路店,南区,湖广区,广东,广州,沃尔玛
易初莲花广州长兴店,卜蜂莲花广州长兴路店,南区,湖广区,广东,广州,易初莲花
Lotus花都店,卜蜂莲花广州公益路店,南区,湖广区,广东,广州,易初莲花
Lotus天河店,卜蜂莲花广州车陂路店,南区,湖广区,广东,广州,易初莲花
广东广州市--萝岗奥园广场店,永辉广州萝岗奥园广场店,南区,湖广区,广东,广州,永辉
广东广州市--永辉百信广场店,永辉广州百信店,南区,湖广区,广东,广州,永辉
永辉南沙万达店,永辉广州南沙万达广场店,南区,湖广区,广东,广州,永辉
百佳广州鸿禧分店,百佳广州光明北店,南区,湖广区,广东,广州,永辉
百佳广州名盛广场,百佳广州名盛店,南区,湖广区,广东,广州,永辉
百佳广州西城都荟店,永辉广州西城都荟店黄沙店,南区,湖广区,广东,广州,永辉
