月份,Y22-01,Y22-02,Y22-03,Y22-04,Y22-05,Y22-06,Y22-07,Y22-08,Y22-09,Y22-10,Y22-11,Y22-12,地城市,大区,小区,门店编码,渠道,有效值数量,有效值占比
四川永辉超市有限公司仁寿万达广场店,3531.4297,,10058.0914,3123.6817,3229.0201,401.6956,3076.9782,5121.3526,3905.5761,3588.13,3044.4993,3000.0173,仁寿县,西区,四川区,YH-N-03031,永辉,12,1.0
四川永辉超市有限公司南充营山圣桦时代广场店,,17467.1897,,13781.105,11331.9097,7100.3238,14990.6936,15769.7999,11065.87,,13621.1374,,营山县,西区,四川区,YH-N-00471,永辉,12,1.0
四川永辉超市有限公司双铁广场店,15933.4444,29840.6655,36214.9935,17889.347,14933.1053,14211.2877,16871.3397,,,15097.9441,14204.2617,12460.3184,成都,西区,四川区,YH-N-00293,永辉,12,1.0
四川永辉超市有限公司天府欧城店,12147.5803,23746.7932,29747.4062,10417.7903,10958.2924,10217.8728,13552.1807,13090.5853,10646.9288,12522.2985,12632.6945,11744.2123,成都,西区,四川区,YH-N-00115,永辉,12,1.0
四川永辉超市有限公司宜宾万达广场店,7760.9067,16327.4135,15382.1287,8902.5398,7562.1774,3152.2815,10005.162,9496.1107,,8647.802,6156.1424,5809.2191,宜宾,西区,四川区,YH-N-00476,永辉,12,1.0
四川永辉超市有限公司岳池星都会店,16257.7793,20539.9828,44787.3733,10058.7939,9371.302,,,11670.0463,10781.1479,12499.1042,12838.9704,12818.3806,岳池县,西区,四川区,YH-N-00479,永辉,12,1.0
四川永辉超市有限公司巴中万达店,6260.1382,10901.805,11641.2229,,5011.2406,867.5795,6650.8799,6612.2319,3795.7911,5533.5381,5697.465,5598.7687,巴中,西区,四川区,YH-N-02717,永辉,12,1.0
四川永辉超市有限公司广元摩尔天成店,7906.9774,9552.9448,10279.4613,7035.204,6882.6829,4412.4589,7313.2475,7072.3985,6264.8892,7514.9265,7975.372,6840.842,江安县,西区,四川区,YH-N-00456,永辉,12,1.0
四川永辉超市有限公司广安加德金融天街店,0.0,0.0,0.0,7167.1259,8411.4626,3599.0262,7186.7138,,6459.4801,,7887.3134,9097.4051,广安,西区,四川区,YH-N-03033,永辉,9,0.75
四川永辉超市有限公司广安融恒时代广场店,15659.4748,34519.9741,63762.0063,,10467.7084,8168.4961,14122.6082,15614.0325,12120.0121,,14958.7847,,武胜县,西区,四川区,YH-N-00162,永辉,12,1.0
四川永辉超市有限公司广汉金雁蔚蓝郡店,6254.4493,12994.4645,18330.2868,7993.7845,7054.3958,4550.6494,10080.4199,9800.8145,8328.8966,6063.1179,7658.2641,7750.2602,彭州,西区,四川区,YH-N-01943,永辉,12,1.0
四川永辉超市有限公司彭州市望蜀里店,7637.6592,12055.2186,14924.0214,9864.9897,9394.1703,7478.8525,10233.7963,10396.9025,0.0,0.0,9459.4999,15394.016,蒲江县,西区,四川区,YH-N-01758,永辉,10,0.8333333333333334
四川永辉超市有限公司德阳新城吾悦店,2270.455,4283.8812,5956.107,4364.7438,3404.4391,2603.0891,4723.6378,4446.7682,3434.8755,3749.3955,,2745.8956,成都,西区,四川区,YH-N-02573,永辉,12,1.0
四川永辉超市有限公司成都上古天地店,13510.974,21975.2895,40389.5867,15447.7521,14053.8468,,0.0,0.0,0.0,0.0,0.0,0.0,成都,西区,四川区,YH-N-00247,永辉,5,0.4166666666666667
四川永辉超市有限公司成都喜港城店,0.0,0.0,0.0,12035.4689,11990.4544,11091.8846,16069.8876,12150.9576,11491.0933,15532.5038,10935.2929,10611.9489,成都,西区,四川区,YH-N-00813,永辉,9,0.75
四川永辉超市有限公司成都蜀都万达店,16115.4486,32566.8944,60486.7673,17688.9345,15478.2029,13472.2326,19605.0441,,11599.2053,19288.6733,16506.0145,13503.1956,成都,西区,四川区,YH-N-00096,永辉,12,1.0
四川永辉超市有限公司成都金堂华地财富广场店,12458.0854,19836.557,,11953.996,11603.0893,9436.682,14805.3843,,9051.8831,14648.9143,13946.945,12790.6801,金堂县,西区,四川区,YH-N-00097,永辉,12,1.0
四川永辉超市有限公司成都金牛区北城天街分公司,21935.7296,33505.6717,58540.59,18174.3249,15485.031,16221.4061,18674.9963,19657.5745,12220.4632,17907.703,15942.5392,13813.0434,成都,西区,四川区,YH-00032,永辉,12,1.0
四川永辉超市有限公司成都青羊区青羊广场分公司,28209.7935,,104893.9233,25687.4187,22192.7032,11649.6732,28244.4368,21185.1928,16363.6015,22318.9757,19407.3259,11283.3517,成都,西区,四川区,YH-00048,永辉,12,1.0
四川永辉超市有限公司成都高新区时代天街分公司,19746.2098,39632.2405,66086.8471,52556.4586,25485.8995,16512.2749,28006.2836,22936.1463,16915.3008,47966.3287,23018.5456,17269.9649,成都,西区,四川区,YH-00084,永辉,12,1.0
四川永辉超市有限公司攀枝花万达店,,20923.481,22755.9532,15917.5353,13516.8042,3359.2683,12235.3165,11267.9876,,11175.1993,10878.8958,9879.1253,攀枝花,西区,四川区,YH-N-02096,永辉,12,1.0
四川永辉超市有限公司新津荣信时代店,20213.3255,34577.7866,42097.9811,,17766.6395,14793.1222,19489.8103,18327.9797,11999.0783,20293.7839,12045.5164,11718.1449,成都,西区,四川区,YH-N-00350,永辉,12,1.0
四川永辉超市有限公司新都汇融广场店,15195.7808,26018.0524,48952.0769,11709.0396,11031.7259,9744.1718,15320.3348,14430.7766,10748.6378,15402.6035,13529.7741,11484.5465,新都县,西区,四川区,YH-N-00812,永辉,12,1.0
四川永辉超市有限公司新都龙湖锦宸店,11886.973,,31450.001,9292.1187,9716.2815,9361.5796,11645.7422,12258.8203,7123.3415,12233.8322,7308.961,,新都县,西区,四川区,YH-N-03030,永辉,12,1.0
四川永辉超市有限公司江油宝龙广场店,8745.0456,16336.1757,19373.4731,9691.0328,7325.6586,5174.7845,12207.7119,10666.2538,9304.8132,,8070.4695,8972.983,江油,西区,四川区,YH-N-00480,永辉,12,1.0
四川永辉超市有限公司泰山南路店,9261.5544,16407.6954,20920.4006,9354.3365,9235.4641,6889.7495,12908.3829,10830.8604,10124.6299,11164.1648,12631.4342,8400.7968,德阳,西区,四川区,YH-N-00295,永辉,12,1.0
四川永辉超市有限公司泸州万象汇店,11047.6558,19726.3069,25552.235,12598.089,13237.5526,6436.8918,,14797.4382,7202.6886,16011.7955,8622.7319,8777.7592,泸州,西区,四川区,YH-N-00114,永辉,12,1.0
四川永辉超市有限公司泸州万达广场店,12577.2012,29646.1484,36325.4924,15313.4157,13246.3912,8091.3232,,,,15702.2428,,10782.1061,泸州,西区,四川区,YH-N-00455,永辉,12,1.0
四川永辉超市有限公司泸州天远广场店,5004.2593,8527.213,12038.5281,3849.4162,4478.4871,3796.2897,5306.0996,5559.7431,3576.9412,6565.5863,4573.9704,5044.3734,广元,西区,四川区,YH-N-00970,永辉,12,1.0
四川永辉超市有限公司浦江世纪中心店,6242.7183,15424.7399,13315.6189,,5945.9577,2515.151,4809.198,7222.2501,4075.8608,5597.8827,5090.2634,,夹江县,西区,四川区,YH-N-00809,永辉,12,1.0
四川永辉超市有限公司海滨城购物中心分公司,15037.4926,25482.6,46312.0844,13753.4699,,15361.81,14846.5551,17058.1378,11237.1694,18727.3757,18167.118,13796.9024,双流县,西区,四川区,YH-00057,永辉,12,1.0
四川永辉超市有限公司温江国色天香店,14716.4748,31110.1598,,11781.5612,11411.4364,7063.4572,8789.3273,18960.4302,13188.9441,22672.2701,11961.2108,9465.6167,温江县,西区,四川区,YH-00017,永辉,12,1.0
四川永辉超市有限公司温江店,27692.8895,33771.9289,,24971.2285,23709.2509,21967.6541,30341.7165,33413.7396,26871.3437,33220.3625,,22500.8548,温江县,西区,四川区,SC-HH-061,永辉,12,1.0
四川永辉超市有限公司眉山万景国际店,10471.4456,17978.3287,21963.4905,10736.5945,9325.4165,3979.8505,11911.0081,10267.055,,8961.0201,8988.0607,7383.6491,绵阳,西区,四川区,YH-N-00148,永辉,12,1.0
